PARTITIONCOL,BUSINESS,PRODUCT,SUB_PRODUCT,STAGE_ORDER,STAGE_NAMES,Journey_name,ENTRYPOINT_STAGE,clicks,users,EP_PLATFORM
202605,PERSONALLOAN,SALPL,SAL_NO_OFFER,11.0,EMPLOYMENT DETAILS PAGE VIEWED,SAL_NO_OFFER,JOURNEY_3,203475,107963,APP
202604,PERSONALLOAN,SALPL,SAL_PREAPPROVED,18.0,KYC_VERIFICATION_PAGE,SAL_PREAPPROVED,DPAOP3,15665,9430,APP
202607,PERSONALLOAN,SALPL,SAL_PREAPPROVED,3.0,PERSONAL DETAILS PAGE VIEWED,SAL_PREAPPROVED,JOURNEY_3,3990,2292,CT-WEB
202606,PERSONALLOAN,SALPL,SAL_PREAPPROVED,23.0,BANK DETAILS PAGE VIEWED,SAL_PREAPPROVED,JOURNEY_3,198,139,CT-WEB
202606,PERSONALLOAN,SALPL,SAL_NO_OFFER,23.0,BANK DETAILS PAGE VIEWED,SAL_NO_OFFER,JOURNEY_3,10151,6075,APP
202608,PERSONALLOAN,SALPL,SAL_PREAPPROVED,11.0,INCOME VERIFICATION LANDING PAGE VIEWED,SAL_PREAPPROVED,DPAOP3,35031,22749,APP
202608,PERSONALLOAN,SALPL,SAL_PREAPPROVED,20.0,LOAN SUMMARY PAGE,SAL_PREAPPROVED,JOURNEY_3,66,56,CT-WEB
202608,PERSONALLOAN,SALPL,SAL_PREAPPROVED,4.0,PERSONAL DETAILS PAGE SUBMIT,SAL_PREAPPROVED,JOURNEY_3,29,21,APP
202605,PERSONALLOAN,SALPL,SAL_PREAPPROVED,4.1,PERSONAL DETAILS PAGE SUBMIT > MULTIPLE ERROR,SAL_PREAPPROVED,JOURNEY_3,694,304,CT-WEB
202605,PERSONALLOAN,SALPL,SAL_PREAPPROVED,26.0,APPLICATION SUBMITTED SUCCESSFULLY,SAL_PREAPPROVED,JOURNEY_3,162,123,CT-WEB
202607,PERSONALLOAN,SALPL,SAL_NO_OFFER,18.0,"OFFER DETAILS,EDIT OFFER DETAILS",SAL_NO_OFFER,JOURNEY_3,241,66,APP
202608,PERSONALLOAN,SALPL,SAL_PREAPPROVED,26.0,APPLICATION SUBMITTED SUCCESSFULLY,SAL_PREAPPROVED,JOURNEY_3,80,59,CT-WEB
202604,PERSONALLOAN,SALPL,SAL_PREAPPROVED,17.0,"OFFER DETAILS,EDIT OFFER DETAILS VIEWED",SAL_PREAPPROVED,JOURNEY_3,10,6,APP
202608,PERSONALLOAN,SALPL,SAL_NO_OFFER,2.1,PDP PAGE > RESUME APPLICATION > WITH ERROR,SAL_NO_OFFER,JOURNEY_3,3,3,APP
202606,PERSONALLOAN,SALPL,SAL_NO_OFFER,18.0,KYC_VERIFICATION_PAGE,SAL_NO_OFFER,DPAOP3,731264,327448,APP
202606,PERSONALLOAN,SALPL,SAL_PREAPPROVED,3.0,PERSONAL DETAILS PAGE VIEWED,SAL_PREAPPROVED,JOURNEY_3,7243,2626,APP
202606,PERSONALLOAN,SALPL,SAL_PREAPPROVED,3.0,PERSONAL DETAILS PAGE VIEWED,SAL_PREAPPROVED,JOURNEY_3,4001,2354,CT-WEB
202605,PERSONALLOAN,SALPL,SAL_NO_OFFER,4.1,PERSONAL DETAILS PAGE SUBMIT > MULTIPLE ERROR,SAL_NO_OFFER,JOURNEY_3,40003,14525,CT-WEB
202604,PERSONALLOAN,SALPL,SAL_PREAPPROVED,2.0,PDP PAGE > APPLY NOW,SAL_PREAPPROVED,DPAOP3,1357,726,APP
202605,PERSONALLOAN,SALPL,SAL_NO_OFFER,2.0,PDP PAGE > START NEW APPLICATION,SAL_NO_OFFER,JOURNEY_3,139,109,APP
202606,PERSONALLOAN,SALPL,SAL_NO_OFFER,4.1,PERSONAL DETAILS PAGE SUBMIT > WITH ERROR- VALIDATION ERROR,SAL_NO_OFFER,DPAOP3,4277753,333197,APP
202605,PERSONALLOAN,SALPL,SAL_NO_OFFER,4.4,PERSONAL DETAILS PAGE SUBMIT > TNC ERROR,SAL_NO_OFFER,JOURNEY_3,1406,692,CT-WEB
202607,PERSONALLOAN,SALPL,SAL_PREAPPROVED,16.0,OFFER POPUP,SAL_PREAPPROVED,JOURNEY_3,146,98,CT-WEB
202604,PERSONALLOAN,SALPL,SAL_NO_OFFER,4.1,PERSONAL DETAILS PAGE SUBMIT > MULTIPLE ERROR,SAL_NO_OFFER,JOURNEY_3,1866,588,APP
202606,PERSONALLOAN,SALPL,SAL_NO_OFFER,22.0,KYC_DETAILS_PAGE,SAL_NO_OFFER,JOURNEY_3,8556,5624,CT-WEB
202605,PERSONALLOAN,SALPL,SAL_PREAPPROVED,3.0,PERSONAL DETAILS PAGE VIEWED,SAL_PREAPPROVED,DPAOP3,250885,58529,APP
